discrete_feature_0,discrete_feature_1,discrete_feature_2,discrete_feature_3,discrete_feature_4,redundant_feature_0,redundant_feature_1,redundant_feature_2,redundant_feature_3,redundant_feature_4,redundant_feature_5,redundant_feature_6,redundant_feature_7,redundant_feature_8,redundant_feature_9,noisy_feature_0,noisy_feature_1,noisy_feature_2,noisy_feature_3,noisy_feature_4,noisy_feature_5,noisy_feature_6,noisy_feature_7,noisy_feature_8,noisy_feature_9,noisy_feature_10,noisy_feature_11,noisy_feature_12,noisy_feature_13,noisy_feature_14,noisy_feature_15,noisy_feature_16,noisy_feature_17,noisy_feature_18,noisy_feature_19,label
bangladesh,traveller,dallas,nickel,exceptions,precisely,middle,around,described,cordless,personalized,formal,slovak,predict,worldsex,attempting,assembled,aspect,extended,attempting,housewives,hebrew,notebook,proceedings,assistance,michel,varied,alcohol,compound,sorted,additions,fragrances,miniature,attributes,enhanced,0
contacts,traveller,objects,nicholas,capital,border,powell,tuning,finals,stored,saddam,administrators,constraint,instructions,printers,overall,predict,estonia,textbook,texture,monroe,kuwait,notebook,guarantee,cultural,static,devoted,differences,untitled,connect,interface,scholarships,rebecca,commented,designs,3
contacts,traveller,objects,nicholas,compliant,border,locations,tuning,finals,cordless,privileges,favour,allowed,instructions,elegant,comprehensive,riders,estonia,filing,activation,primary,bluetooth,notebook,guarantee,centre,michel,musical,differences,powell,holiday,additions,fragrances,eclipse,speaking,industries,3
contacts,traveller,objects,nicholas,compliant,entered,matters,around,daniel,morrison,saddam,formal,slovak,nuclear,printers,gentle,majority,transit,extended,activation,inform,kuwait,largest,stylish,gossip,troops,contacts,closing,profiles,holiday,additions,fragrances,eclipse,speaking,overnight,3
contacts,traveller,broker,nicholas,exceptions,entered,middle,thailand,stones,cordless,privileges,burlington,wright,instructions,burner,appeared,riders,aspect,browse,attempting,monroe,bluetooth,facility,proceedings,battle,fisheries,musical,alcohol,challenge,holiday,interface,fragrances,eclipse,worcester,enhanced,0
satellite,traveller,objects,pennsylvania,capital,hollywood,analyzed,thailand,daniel,morrison,privileges,burlington,though,oldest,buffer,gentle,riders,transit,starring,relate,primary,percentage,facility,buying,cultural,static,musical,hardwood,challenge,zoning,interface,fragrances,eclipse,concentrate,overnight,4
contacts,venues,certification,nicholas,compliant,precisely,locations,supposed,supposed,bundle,saddam,administrators,slovak,nuclear,worldsex,attempting,majority,robust,browse,activation,primary,bluetooth,supplied,proceedings,battle,troops,innovations,context,profiles,holiday,additions,suspension,showers,commented,designs,2
contacts,traveller,objects,nicholas,compliant,precisely,powell,tuning,daniel,tigers,privileges,across,allowed,instructions,elegant,attempting,router,robust,filing,texture,primary,percentage,infant,receipt,centre,thread,devoted,alcohol,profiles,sorted,interface,fragrances,miniature,worcester,designs,3
bangladesh,routes,certification,nickel,compliant,hollywood,powell,around,finals,stored,surgical,administrators,constraint,oldest,burner,gentle,predict,aspect,browse,activation,primary,percentage,facility,buying,battle,michel,musical,alcohol,powell,sorted,additions,fragrances,rebecca,speaking,enhanced,1
phrases,traveller,objects,nicholas,capital,precisely,locations,tuning,finals,stored,personalized,favour,allowed,predict,elegant,comprehensive,majority,estonia,extended,activation,inform,percentage,infant,stylish,gossip,michel,musical,alcohol,profiles,connect,interface,fragrances,rebecca,attributes,enhanced,4
phrases,venues,proudly,prompt,capital,border,analyzed,measurements,finals,stored,portuguese,across,though,cancel,printers,comprehensive,riders,robust,extended,relate,inform,percentage,infant,stylish,assistance,troops,varied,differences,compound,zoning,respected,scholarships,showers,concentrate,designs,4
phrases,traveller,certification,pennsylvania,capital,environmental,analyzed,measurements,described,morrison,personalized,burlington,wright,nuclear,elegant,gentle,predict,ukraine,filing,activation,housewives,hebrew,notebook,receipt,centre,thread,devoted,context,powell,involved,additions,scholarships,temperature,attributes,designs,2
phrases,traveller,certification,pennsylvania,compliant,environmental,analyzed,around,stones,morrison,saddam,burlington,though,cancel,burner,gentle,majority,transit,filing,relate,bundle,percentage,facility,stylish,gossip,thread,musical,alcohol,compound,involved,recorder,scholarships,showers,worcester,industries,3
contacts,traveller,objects,nicholas,compliant,border,matters,tuning,supposed,bundle,portuguese,favour,slovak,oldest,printers,appeared,assembled,robust,extended,texture,bundle,bluetooth,facility,guarantee,assistance,fisheries,varied,closing,profiles,holiday,recorder,adapted,rebecca,attributes,enhanced,2
